# SYNTHETIC DATA -- NOT REAL MARKET DATA.
# Generated on 2026-08-04 by ml/generate_synthetic_prices.py (seed=20260804).
# This file is a fabricated placeholder for LME nickel and IDX Carbon daily
# prices. No real market series was obtainable at build time. It MUST be
# replaced with real data before any published result, demo, or
# presentation. See ml/DATA_PROVENANCE.md for what must change and where.
observed_on,lme_usd_per_ton,idx_carbon_idr_per_ton
2025-08-18,17985.08,50791.17
2025-08-19,18341.24,
2025-08-20,18319.18,
2025-08-21,17892.77,
2025-08-22,18131.54,
2025-08-25,18045.25,
2025-08-26,18324.30,
2025-08-27,17769.89,
2025-08-28,17947.06,
2025-08-29,17507.89,
2025-09-01,17860.22,
2025-09-02,18496.45,
2025-09-03,17960.14,
2025-09-04,17737.35,
2025-09-05,17492.29,42252.93
2025-09-08,17928.09,
2025-09-09,17505.19,46518.72
2025-09-10,17355.19,
2025-09-11,17466.44,
2025-09-12,17065.73,
2025-09-15,17065.26,
2025-09-16,17205.59,
2025-09-17,17096.43,45853.34
2025-09-18,17135.47,
2025-09-19,17572.25,
2025-09-22,18106.36,48333.56
2025-09-23,18237.53,
2025-09-24,18702.57,
2025-09-25,18373.33,
2025-09-26,18545.37,
2025-09-29,18805.00,
2025-09-30,19400.00,
2025-10-01,18919.28,
2025-10-02,19481.44,
2025-10-03,19285.76,
2025-10-06,18794.17,45625.32
2025-10-07,18642.07,
2025-10-08,18084.21,
2025-10-09,17797.19,
2025-10-10,17833.15,
2025-10-13,17448.22,47201.26
2025-10-14,17254.29,44808.89
2025-10-15,16982.69,48549.38
2025-10-16,17011.47,
2025-10-17,17542.07,
2025-10-20,17795.43,48842.29
2025-10-21,17326.45,
2025-10-22,17532.61,
2025-10-23,17660.33,
2025-10-24,17187.02,
2025-10-27,17178.78,
2025-10-28,16845.66,
2025-10-29,16384.92,
2025-10-30,16755.14,
2025-10-31,16547.85,
2025-11-03,16775.30,48746.96
2025-11-04,16853.97,
2025-11-05,16522.93,
2025-11-06,16487.31,
2025-11-07,16323.93,
2025-11-10,16448.00,
2025-11-11,16100.64,
2025-11-12,15561.45,
2025-11-13,15898.42,
2025-11-14,15974.70,
2025-11-17,16080.30,
2025-11-18,16404.72,
2025-11-19,16369.59,47242.75
2025-11-20,16032.50,47234.57
2025-11-21,15580.39,
2025-11-24,15229.73,
2025-11-25,14798.04,
2025-11-26,14607.83,
2025-11-27,14574.64,
2025-11-28,14502.02,
2025-12-01,14667.52,
2025-12-02,14237.20,
2025-12-03,14548.56,
2025-12-04,14298.35,
2025-12-05,14168.78,
2025-12-08,14143.04,48584.05
2025-12-09,14500.67,
2025-12-10,14410.46,
2025-12-11,14393.55,
2025-12-12,14210.10,
2025-12-15,14097.65,
2025-12-16,14180.70,
2025-12-17,14440.24,
2025-12-18,14423.86,
2025-12-19,14505.02,
2025-12-22,14743.38,
2025-12-23,15212.34,
2025-12-24,15322.47,
2025-12-25,15311.33,
2025-12-26,15478.53,
2025-12-29,15801.28,42903.98
2025-12-30,15257.78,
2025-12-31,15348.19,
2026-01-01,14994.65,
2026-01-02,14707.08,
2026-01-05,15086.33,
2026-01-06,15176.36,
2026-01-07,15312.20,
2026-01-08,15364.42,
2026-01-09,15404.84,
2026-01-12,15347.75,
2026-01-13,14877.09,
2026-01-14,14734.82,
2026-01-15,14610.13,
2026-01-16,14412.24,
2026-01-19,14446.69,
2026-01-20,14565.54,
2026-01-21,14391.06,
2026-01-22,14522.52,
2026-01-23,14252.52,
2026-01-26,14169.65,
2026-01-27,13948.13,
2026-01-28,13869.35,
2026-01-29,13852.72,
2026-01-30,14231.23,
2026-02-02,14580.73,53460.15
2026-02-03,14610.42,
2026-02-04,14824.51,
2026-02-05,14895.06,
2026-02-06,14924.58,
2026-02-09,14719.93,
2026-02-10,15018.67,
2026-02-11,14859.76,46135.06
2026-02-12,14726.61,
2026-02-13,14852.74,
2026-02-16,14667.68,
2026-02-17,14783.12,
2026-02-18,14987.91,
2026-02-19,15181.02,
2026-02-20,15064.18,46602.03
2026-02-23,14782.31,44842.37
2026-02-24,14859.49,
2026-02-25,14800.04,46937.17
2026-02-26,14683.30,
2026-02-27,14627.76,42109.48
2026-03-02,14774.43,43186.14
2026-03-03,14497.85,
2026-03-04,14200.77,
2026-03-05,14237.34,
2026-03-06,14417.86,
2026-03-09,14324.70,
2026-03-10,14363.93,42826.86
2026-03-11,14450.79,45171.46
2026-03-12,14308.97,
2026-03-13,14204.33,47916.64
2026-03-16,14657.60,
2026-03-17,14824.79,
2026-03-18,14970.02,
2026-03-19,15144.91,
2026-03-20,15673.99,
2026-03-23,15370.15,45304.65
2026-03-24,15370.17,
2026-03-25,15755.62,47685.20
2026-03-26,15696.01,44159.95
2026-03-27,15841.28,45288.85
2026-03-30,15874.25,
2026-03-31,15757.25,49605.00
2026-04-01,16136.24,
2026-04-02,16179.40,
2026-04-03,16548.94,
2026-04-06,16399.21,
2026-04-07,15957.07,
2026-04-08,16027.32,
2026-04-09,15939.02,
2026-04-10,16024.63,52315.25
2026-04-13,15865.12,
2026-04-14,15922.50,
2026-04-15,16111.55,47189.36
2026-04-16,15961.26,41765.46
2026-04-17,15863.78,
2026-04-20,16075.26,44869.42
2026-04-21,16020.99,
2026-04-22,16277.06,
2026-04-23,15510.35,
2026-04-24,15874.55,
2026-04-27,15943.45,43561.44
2026-04-28,16068.55,
2026-04-29,15854.60,
2026-04-30,16571.82,
2026-05-01,16269.05,
2026-05-04,16353.85,46539.65
2026-05-05,16072.99,
2026-05-06,16691.32,
2026-05-07,16938.38,
2026-05-08,17083.10,
2026-05-11,16909.79,
2026-05-12,17010.30,
2026-05-13,17262.17,
2026-05-14,17444.91,
2026-05-15,17383.50,
2026-05-18,17170.10,
2026-05-19,17072.18,46958.87
2026-05-20,17244.72,
2026-05-21,17167.39,
2026-05-22,17223.92,
2026-05-25,16983.05,47159.40
2026-05-26,16639.70,
2026-05-27,17226.18,
2026-05-28,17412.34,
2026-05-29,17130.10,
2026-06-01,17331.56,
2026-06-02,17663.13,
2026-06-03,17876.70,
2026-06-04,17506.31,
2026-06-05,17698.56,48761.66
2026-06-08,17342.84,
2026-06-09,17164.97,49336.05
2026-06-10,17567.69,
2026-06-11,17178.04,
2026-06-12,17616.18,
2026-06-15,17682.77,
2026-06-16,18284.33,43997.36
2026-06-17,17705.28,
2026-06-18,16968.04,
2026-06-19,16850.47,47082.22
2026-06-22,16737.18,
2026-06-23,17177.00,
2026-06-24,17225.83,44209.78
2026-06-25,17175.05,49375.75
2026-06-26,16907.74,
2026-06-29,16543.49,
2026-06-30,16558.95,
2026-07-01,16877.46,
2026-07-02,16815.21,46760.16
2026-07-03,17104.60,
2026-07-06,17322.45,
2026-07-07,17738.44,50997.33
2026-07-08,17638.48,
2026-07-09,17308.54,
2026-07-10,17597.83,
2026-07-13,17401.01,
2026-07-14,17498.59,
2026-07-15,17741.67,
2026-07-16,17654.27,44283.14
2026-07-17,17506.67,
2026-07-20,16977.70,
2026-07-21,17270.41,51616.92
2026-07-22,17250.01,
2026-07-23,16775.28,46755.02
2026-07-24,16678.78,
2026-07-27,17071.20,41211.83
2026-07-28,16775.33,
2026-07-29,17078.89,
2026-07-30,16912.77,50259.65
2026-07-31,17262.48,
